pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.196579	0.128961	0.343975	0.174884	0.375658	0.1105
0.1	0.145686	0.112415	0.228377	0.116248	0.184841	0.0791
0.1	0.152055	0.126723	0.166599	0.084855	0.140734	0.0829
0.1	0.12727	0.108565	0.146972	0.0748737	0.103918	0.0683
0.1	0.0966184	0.086205	0.107778	0.0549286	0.0578521	0.0509
0.1	0.0863139	0.074366	0.138424	0.0705249	0.0663773	0.0452
0.1	0.1379	0.113669	0.175711	0.0894882	0.134614	0.0745
0.1	0.162815	0.118728	0.270781	0.137773	0.244929	0.0894
0.1	0.122072	0.104313	0.145478	0.0741137	0.0986601	0.0653
0.1	0.163472	0.118478	0.275239	0.140035	0.249966	0.0898
0.1	0.131575	0.10029	0.237772	0.121018	0.173804	0.0708
0.1	0.143156	0.115284	0.194699	0.0991395	0.154847	0.0776
0.1	0.158862	0.128496	0.191147	0.0973341	0.1687	0.087
0.1	0.165438	0.116674	0.294757	0.149935	0.270911	0.091
0.1	0.163964	0.139307	0.15038	0.0766072	0.136983	0.0901
0.1	0.134488	0.111041	0.17434	0.0887908	0.130258	0.0725
0.1	0.129856	0.112504	0.133624	0.0680829	0.0963996	0.0698
0.1	0.143494	0.123076	0.142294	0.0724935	0.113435	0.0778
0.1	0.1302	0.109326	0.160323	0.0816636	0.115967	0.07
0.1	0.17114	0.135513	0.208172	0.105985	0.197925	0.0945
0.1	0.178879	0.140201	0.216224	0.110076	0.214878	0.0993
0.1	0.157208	0.12253	0.220587	0.112291	0.192656	0.086
0.1	0.183828	0.153992	0.162306	0.0826723	0.165758	0.1024
0.1	0.155384	0.130205	0.162044	0.0825388	0.139883	0.0849
0.1	0.109095	0.088237	0.191193	0.0973573	0.115879	0.0579
0.1	0.173406	0.127791	0.263055	0.133852	0.253419	0.0959
0.1	0.102168	0.087668	0.141923	0.072305	0.0805556	0.054
0.1	0.135171	0.114049	0.156262	0.0795988	0.117345	0.0729
0.1	0.149883	0.129652	0.134978	0.0687716	0.112394	0.0816
0.1	0.135342	0.103658	0.234103	0.119156	0.176022	0.073
0.1	0.170653	0.117158	0.313471	0.159424	0.297193	0.0942
0.1	0.147872	0.113462	0.2327	0.118443	0.191165	0.0804
0.1	0.194238	0.141548	0.271265	0.138019	0.292722	0.109
0.1	0.201081	0.15866	0.210964	0.107404	0.235672	0.1134
0.1	0.146696	0.119719	0.183896	0.0936489	0.149871	0.0797
0.1	0.119459	0.096958	0.188358	0.0959168	0.125006	0.0638
0.1	0.143494	0.098596	0.312893	0.159131	0.249435	0.0778
0.1	0.125541	0.101953	0.187894	0.0956806	0.131047	0.0673
0.1	0.176792	0.144106	0.184884	0.0941509	0.181589	0.098
0.1	0.109095	0.095589	0.123802	0.0630845	0.0750343	0.0579
0.1	0.129856	0.108776	0.162333	0.0826861	0.117111	0.0698
0.1	0.14248	0.101422	0.288168	0.146594	0.228102	0.0772
0.1	0.134829	0.110763	0.178495	0.0909035	0.133702	0.0727
0.1	0.161171	0.128676	0.201618	0.102655	0.180527	0.0884
0.1	0.132433	0.115151	0.130494	0.0664899	0.096009	0.0713
0.1	0.112096	0.087988	0.215063	0.109486	0.133932	0.0596
0.1	0.131231	0.094974	0.276285	0.140566	0.201429	0.0706
0.1	0.148878	0.123194	0.172517	0.0878643	0.142689	0.081
0.1	0.123462	0.098581	0.201525	0.102608	0.138225	0.0661
0.1	0.13329	0.108778	0.183897	0.0936492	0.136175	0.0718
0.1	0.166092	0.12716	0.234401	0.119307	0.216289	0.0914
0.1	0.141804	0.110996	0.217255	0.110599	0.171153	0.0768
0.1	0.136537	0.108183	0.207663	0.105727	0.15752	0.0737
0.1	0.127615	0.096669	0.242498	0.123418	0.171925	0.0685
0.1	0.165929	0.127069	0.234195	0.119202	0.215887	0.0913
0.1	0.135513	0.116873	0.13755	0.0700802	0.103554	0.0731
0.1	0.149381	0.120307	0.194628	0.0991031	0.16152	0.0813
0.1	0.125541	0.105401	0.160428	0.0817175	0.111891	0.0673
0.1	0.158697	0.115683	0.271044	0.137906	0.238965	0.0869
0.1	0.0866777	0.07482	0.136802	0.0696996	0.065876	0.0454
0.1	0.0779033	0.060626	0.221779	0.112897	0.0959849	0.0406
0.1	0.133803	0.103961	0.22303	0.113533	0.16579	0.0721
0.1	0.146191	0.111392	0.238039	0.121154	0.193329	0.0794
0.1	0.153222	0.126054	0.177312	0.0903018	0.150934	0.0836
0.1	0.103416	0.090821	0.121788	0.0620597	0.0699712	0.0547
0.1	0.134316	0.09831	0.268072	0.136398	0.200036	0.0724
0.1	0.175021	0.136171	0.221972	0.112995	0.215832	0.0969
0.1	0.169678	0.142424	0.160622	0.081816	0.151412	0.0936
0.1	0.116662	0.089444	0.233309	0.118752	0.151213	0.0622
0.1	0.165274	0.135919	0.177616	0.0904565	0.163085	0.0909
0.1	0.18351	0.148742	0.189462	0.096478	0.193157	0.1022
0.1	0.153389	0.124037	0.191355	0.0974396	0.163065	0.0837
0.1	0.115085	0.093915	0.183948	0.0936753	0.117609	0.0613
0.1	0.155384	0.118451	0.237688	0.120976	0.205183	0.0849
0.1	0.173891	0.133418	0.23275	0.118469	0.224851	0.0962
0.1	0.148207	0.124346	0.160999	0.0820078	0.132563	0.0806
0.1	0.14804	0.120509	0.185967	0.0947015	0.152947	0.0805
0.1	0.173891	0.131648	0.242929	0.123637	0.234684	0.0962
0.1	0.134488	0.107779	0.198595	0.101119	0.148381	0.0725
0.1	0.122072	0.106635	0.126457	0.0644357	0.0857601	0.0653
0.1	0.214232	0.150878	0.295726	0.150427	0.351967	0.122
0.1	0.106793	0.089746	0.159626	0.0813092	0.0947049	0.0566
0.1	0.13926	0.109553	0.213319	0.1086	0.165038	0.0753
0.1	0.207846	0.158324	0.238264	0.121268	0.275124	0.1178
0.1	0.189686	0.122627	0.353525	0.179722	0.372548	0.1061
0.1	0.209526	0.153041	0.269583	0.137165	0.313803	0.1189
0.1	0.096798	0.086758	0.103721	0.052863	0.0557778	0.051
0.1	0.118936	0.096859	0.185617	0.0945237	0.122647	0.0635
0.1	0.187001	0.13064	0.301395	0.153302	0.313118	0.1044
0.1	0.108741	0.077901	0.283612	0.144283	0.171336	0.0577
0.1	0.166092	0.11417	0.31261	0.158988	0.288456	0.0914
0.1	0.170003	0.12927	0.239602	0.121948	0.226295	0.0938
0.1	0.135	0.111198	0.176313	0.0897941	0.132235	0.0728
0.1	0.164947	0.119363	0.276356	0.140601	0.253245	0.0907
0.1	0.144507	0.117148	0.189326	0.0964085	0.151994	0.0784
0.1	0.151721	0.126859	0.163869	0.083467	0.138125	0.0827
0.1	0.130544	0.094336	0.277362	0.141112	0.201155	0.0702
0.1	0.135513	0.105155	0.224022	0.114036	0.168654	0.0731
0.1	0.13329	0.108212	0.188143	0.0958075	0.13932	0.0718
0.1	0.153389	0.114183	0.255597	0.130067	0.217809	0.0837
0.1	0.148878	0.118798	0.202045	0.102872	0.167111	0.081
0.1	0.147536	0.127208	0.137783	0.0701987	0.112933	0.0802
0.1	0.127443	0.102156	0.198417	0.101029	0.140483	0.0684
