pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.18	0.121723	0.323759	0.119565	0.212532	0.0876768
0.1	0.18	0.113953	0.366927	0.0781033	0.117197	0.0728283
0.1	0.18	0.107017	0.40546	0.0965525	0.142284	0.0714141
0.1	0.18	0.0858662	0.522965	0.101094	0.120895	0.0570707
0.1	0.18	0.0852388	0.526451	0.071026	0.0784063	0.0524242
0.1	0.18	0.114265	0.365192	0.0864407	0.132685	0.0746465
0.1	0.18	0.143399	0.203338	0.0969569	0.191647	0.0986869
0.1	0.18	0.126019	0.299893	0.0947051	0.163594	0.0849495
0.1	0.18	0.132837	0.262014	0.0916197	0.165566	0.0892929
0.1	0.18	0.0980777	0.455124	0.0872873	0.115239	0.0634343
0.1	0.18	0.129503	0.280541	0.130617	0.254408	0.0970707
0.1	0.18	0.0830747	0.538474	0.0951541	0.108476	0.0542424
0.1	0.18	0.110548	0.385845	0.12622	0.207392	0.080404
0.1	0.18	0.128231	0.287607	0.12695	0.24243	0.0949495
0.1	0.18	0.113283	0.370651	0.147047	0.262199	0.0879798
0.1	0.18	0.123238	0.315342	0.0842647	0.138772	0.0806061
0.1	0.18	0.123255	0.315248	0.0902877	0.150898	0.0819192
0.1	0.18	0.086105	0.521639	0.0728804	0.0816239	0.0532323
0.1	0.18	0.113984	0.366757	0.107847	0.17415	0.0788889
0.1	0.18	0.0929966	0.483352	0.0658024	0.0782977	0.0567677
0.1	0.18	0.112279	0.376229	0.106325	0.168469	0.0772727
0.1	0.18	0.106331	0.409269	0.122652	0.19201	0.0762626
0.1	0.18	0.108254	0.39859	0.110138	0.169901	0.0750505
0.1	0.18	0.11069	0.385054	0.0983807	0.150637	0.0744444
0.1	0.18	0.13097	0.272387	0.11898	0.22721	0.0949495
0.1	0.18	0.127501	0.291662	0.0943112	0.164668	0.0859596
0.1	0.18	0.119077	0.33846	0.0969196	0.159065	0.080303
0.1	0.18	0.103012	0.427711	0.10388	0.150079	0.069899
0.1	0.18	0.101835	0.43425	0.106829	0.153721	0.069596
0.1	0.18	0.0772651	0.57075	0.12609	0.144752	0.0546465
0.1	0.18	0.116556	0.352464	0.146	0.267063	0.0905051
0.1	0.18	0.121996	0.322246	0.132433	0.244191	0.0913131
0.1	0.18	0.0922436	0.487535	0.126221	0.173053	0.0660606
0.1	0.18	0.107975	0.400138	0.164973	0.295384	0.0883838
0.1	0.18	0.113919	0.367114	0.107148	0.172617	0.0786869
0.1	0.18	0.108932	0.394824	0.0919965	0.136455	0.0719192
0.1	0.18	0.0923477	0.486957	0.135112	0.189971	0.0678788
0.1	0.18	0.110924	0.383753	0.0664915	0.0945198	0.0686869
0.1	0.18	0.110289	0.387282	0.109556	0.171924	0.0764646
0.1	0.18	0.100497	0.441681	0.106706	0.151479	0.0685859
0.1	0.18	0.106719	0.407118	0.0950323	0.139129	0.0709091
0.1	0.18	0.0973462	0.459188	0.0915781	0.121263	0.0636364
0.1	0.18	0.120424	0.330978	0.140385	0.26117	0.0922222
0.1	0.18	0.112429	0.375395	0.085863	0.129499	0.0732323
0.1	0.18	0.0998102	0.445499	0.102331	0.142689	0.0672727
0.1	0.18	0.13004	0.277557	0.145756	0.297255	0.102222
0.1	0.18	0.11487	0.361834	0.10247	0.164498	0.0783838
0.1	0.18	0.115517	0.358237	0.0949698	0.150478	0.0772727
0.1	0.18	0.0874258	0.514301	0.131015	0.172457	0.0632323
0.1	0.18	0.100638	0.440899	0.0916249	0.125443	0.0659596
0.1	0.18	0.0954989	0.46945	0.0975415	0.128586	0.0633333
0.1	0.18	0.0794934	0.55837	0.101391	0.112334	0.0526263
0.1	0.18	0.110416	0.386576	0.0906749	0.135887	0.0727273
0.1	0.18	0.090378	0.4979	0.078733	0.0938403	0.0568687
0.1	0.18	0.0953535	0.470258	0.0987508	0.130374	0.0634343
0.1	0.18	0.106235	0.409805	0.0870668	0.124442	0.0690909
0.1	0.18	0.125871	0.300718	0.0866923	0.146676	0.0830303
0.1	0.18	0.102608	0.429956	0.0978979	0.138786	0.0684848
0.1	0.18	0.128878	0.28401	0.128249	0.247007	0.0958586
0.1	0.18	0.113982	0.366765	0.118971	0.19772	0.0814141
0.1	0.18	0.0935231	0.480427	0.105281	0.138583	0.0632323
